Bank,Period,Indicator table,Element,Sub-element,AZN,FS Line,Item,Currency,Amount vs Share,Total,31-60 days,61-90 days,91+ days,31-60 days_share%inLP,61-90 days_share%inLP,91+ days_share%inLP
abb_bank,2022_Q2,Balance Sheet,2.1.1,LIABILITY,1689502.99,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.1.2,LIABILITY,7430980.0800000001,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.4,LIABILITY,610012.2,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.5,LIABILITY,17398.36,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.6,LIABILITY,16077.53,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.7,LIABILITY,0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3,EQUITY,1559517.54,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.1,EQUITY,1225647.8200000001,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.2,EQUITY,0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.3,EQUITY,179706.99,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.4,EQUITY,154162.73,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.4,EQUITY,71307.66,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.4.2,EQUITY,32733.34,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.4,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5.1,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5.3,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5.4,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5.5,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.6,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.7,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.8,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,1.10,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.1.1,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.1.2,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.2,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.3,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.5,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.6,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.7,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,2.8,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,3.2,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,3.3,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,3.4,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q3,Balance Sheet,3.4.2,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.4,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5.1,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5.3,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5.4,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5.5,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.6,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.7,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.8,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,1.10,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.1.1,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.1.2,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.2,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.3,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.5,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.6,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.7,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,2.8,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,3.2,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,3.3,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,3.4,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q4,Balance Sheet,3.4.2,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.4,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5.1,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5.3,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5.4,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5.5,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.6,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.7,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.8,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,1.10,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.1.1,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.1.2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.3,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.5,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.6,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.7,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,2.8,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,3.2,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,3.3,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,3.4,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q1,Balance Sheet,3.4.2,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.4,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.5.1,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.5.3,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.5.4,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.5.5,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.6,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.7,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.8,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,1.10,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,2.1.1,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,2.1.2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,2.2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,2.3,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,2.5,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,2.6,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,2.7,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,2.8,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,3.2,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,3.3,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,3.4,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q2,Balance Sheet,3.4.2,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.4,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.5.1,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.5.3,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.5.4,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.5.5,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.6,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.7,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.8,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,1.10,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,2.1.1,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,2.1.2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,2.2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,2.3,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,2.5,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,2.6,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,2.7,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,2.8,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,3.2,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,3.3,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,3.4,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q3,Balance Sheet,3.4.2,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.4,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.5.1,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.5.3,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.5.4,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.5.5,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.6,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.7,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.8,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,1.10,ASSETS,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,2.1.1,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,2.1.2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,2.2,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,2.3,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,2.5,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,2.6,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,2.7,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,2.8,LIABILITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,3.2,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,3.3,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,3.4,EQUITY,,,,,,,,,,,,
abb_bank,2023_Q4,Balance Sheet,3.4.2,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.4,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.5.1,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.5.3,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.5.4,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.5.5,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.6,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.7,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.8,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,1.10,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,2,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,2.1.1,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,2.1.2,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,2.2,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,2.3,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,2.5,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,2.6,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,2.7,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,2.8,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,3.2,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,3.3,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,3.4,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q1,Balance Sheet,3.4.2,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.4,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.5.1,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.5.3,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.5.4,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.5.5,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.6,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.7,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.8,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,1.10,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,2,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,2.1.1,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,2.1.2,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,2.2,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,2.3,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,2.5,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,2.6,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,2.7,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,2.8,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,3.2,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,3.3,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,3.4,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q2,Balance Sheet,3.4.2,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.4,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.5.1,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.5.3,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.5.4,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.5.5,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.6,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.7,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.8,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,1.10,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,2,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,2.1.1,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,2.1.2,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,2.2,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,2.3,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,2.4,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,2.5,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,2.6,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,2.7,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,2.8,LIABILITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,3.2,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,3.3,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,3.4,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q3,Balance Sheet,3.4.2,EQUITY,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.4,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.5.1,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.5.3,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.5.4,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.5.5,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.5.6,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.6,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.7,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.8,ASSETS,,,,,,,,,,,,
abb_bank,2024_Q4,Balance Sheet,1.10,ASSETS,,,,,,,,,,,,
